English,Target,Score_english,Score_target,Notes
"Anil Chaudhary was born in Delhi, India on 12 March 1965. He was a cricketer and an umpire. Mr. Chaudhary was a man of many talents.","Anil Chaudhary wurde am 12. März 1965 in Delhi, Indien, geboren. Er war Cricketspieler und Schiedsrichter. Herr Chaudhary war ein Mann mit vielen Talenten.",,10,
Ronzone is located in the same area as Eppan an der Weinstraße.,Ronzone befindet sich im selben Gebiet wie Eppan an der Weinstraße.,,10,
"Evgeny Sazonov was born on September 27, 1936 in Saint Petersburg. He graduated from the Theater of Youth Creativity. He was awarded the title of Merited Cultural Worker of the RSFSR. He is a dramaturge who is a performer of the genre of men's music.",Evgeny Sasonov wurde am 27. September 1936 in Sankt Petersburg geboren. Er absolvierte das Theater der Jugendkreativität. Ihm wurde der Titel Verdienter Kulturarbeiter der RSFSR verliehen. Er ist Dramaturg und Interpret des Genres Männermusik.,,9,
"Roland Freund was born in 1955 in Timișoara, Germany . He was a water polo player who competed in the 1976 Summer Olympics . He was a member of the German men's water polo team.","Roland Freund wurde 1955 in Temeswar, Deutschland, geboren. Er war ein Wasserballspieler, der an den Olympischen Sommerspielen 1976 teilnahm. Er war Mitglied der deutschen Wasserballmannschaft der Herren.",,10,
"Kenny Cutler was born 8 March 1982 in Richmond, Virginia, United States of America an association football player and plays for the US men's national football team.","Kenny Cutler wurde am 8. März 1982 in Richmond, Virginia, Vereinigte Staaten von Amerika, als Association-Footballspieler geboren und spielt für die US-amerikanische Fußballnationalmannschaft der Männer.",,6,
"Romain Duris, a France film actor, was born on May 28, 1974 in Paris . He was a man.","Romain Duris, ein französischer Filmschauspieler, wurde am 28. Mai 1974 in Paris geboren. Er war ein Mann.",,10,
"Karolina Wigura was born on October 1, 1980 in Warsaw. She is a journalist and sociologist. She graduated from the Faculty of Philosophy and Sociology, University of Warsaw. She is one of the few women in the world to have a doctorate in the same field.","Karolina Wigura wurde am 1. Oktober 1980 in Warschau geboren. Sie ist Journalistin und Soziologin. Sie absolvierte die Fakultät für Philosophie und Soziologie der Universität Warschau. Sie ist eine der wenigen Frauen weltweit, die auf demselben Gebiet promoviert hat.",,7,
Malosco is bounded by Eppan an der Weinstraße.,Malosco wird von Eppan an der Weinstraße begrenzt.,,10,
"Denisa Vyšnovská is a beauty pageant contestant who was born in Prievidza on August 28, 1995 . Denisa Vyšnovská's genre is human and she is a woman.","Denisa Vyšnovská ist eine Kandidatin für Schönheitswettbewerbe, die am 28. August 1995 in Prievidza geboren wurde. Das Genre von Denisa Vyšnovská ist menschlich und sie ist eine Frau.",,10,
"Geovani Cortes Gomes football player who plays as a midfielder . Born in Rio de Janeiro on January 23, 1993, he plays for Americano Futebol Clube.","Geovani Cortes Gomes Fußballspieler, der als Mittelfeldspieler spielt. Er wurde am 23. Januar 1993 in Rio de Janeiro geboren und spielt für Americano Futebol Clube.",,10,
Unsere Liebe Frau im Walde-St. Felix is a part of Eppan an der Weinstraße.,Unsere Liebe Frau im Walde-St. Felix ist ein Ortsteil von Eppan an der Weinstraße.,,10,
"The book The Tyranny of the Market was written by Joel Waldfogel and published on October 15, 2007 in the United States by Harvard University Press. The book is a non-fiction work.",Das Buch The Tyranny of the Market wurde von Joel Waldfogel geschrieben und am 15. Oktober 2007 in den Vereinigten Staaten von Harvard University Press veröffentlicht. Das Buch ist ein Sachbuch.,,10,
"Andrian, South Tyrol is bounded by Eppan an der Weinstraße.","Andrian, Südtirol wird von Eppan an der Weinstraße begrenzt.",,10,
"Franz Cisar was born in Vienna, Austria-Hungary, on November 28, 1908. He was a football player for Austria-Hungary and he was a man of letters.","Franz Cisar wurde am 28. November 1908 in Wien, Österreich-Ungarn, geboren. Er war Fußballspieler für Österreich-Ungarn und ein Literat.",,10,
The neighbouring town of Kaltern an der Weinstraße is Eppan an der Weinstraße.,Der Nachbarort Kaltern an der Weinstraße ist Eppan an der Weinstraße.,,9,
"Landry Dimata was born in the Democratic Republic of the Congo on September 1st, 1997. He is a male association football player who represented Belgium.","Landry Dimata wurde am 1. September 1997 in der Demokratischen Republik Kongo geboren. Er ist ein männlicher Fußballspieler, der Belgien vertrat.",,10,
Which gender has the most people?,Welches Geschlecht hat die meisten Menschen?,,10,
Is Karolina Wigura's job a journalist?,Ist Karolina Wiguras Job Journalistin?,,10,
What job has had the highest number of people working there?,In welchem ​​Beruf arbeiten die meisten Menschen?,,10,
Who has had the fewest jobs?,Wer hatte die wenigsten Jobs?,,10,
Which gender has the fewest people?,Welches Geschlecht hat die wenigsten Menschen?,,10,
How many people are politician?,Wie viele Menschen sind Politiker?,,10,
What does Denisa Vyšnovská do?,Was macht Denisa Vyšnovská?,,10,
Which people are male?,Welche Personen sind männlich?,,10,
Was Democratic Republic of the Congo the birthplace of André Masson?,War die Demokratische Republik Kongo der Geburtsort von André Masson?,,10,
How many people are female?,Wie viele Menschen sind weiblich?,,10,
Is Roland Freund male?,Ist Roland Freund männlich?,,10,
Where has someone from United States of America gone to university?,Wo hat jemand aus den Vereinigten Staaten von Amerika studiert?,,10,
The North American P-51 Mustang has a total produced of +16974.,Die nordamerikanische P-51 Mustang hat eine Gesamtproduktion von +16974.,,10,
NSB Class 66 is produced in total of 4 units.,NSB Class 66 wird in insgesamt 4 Einheiten produziert.,,10,
The Almirante Grau-class cruiser had a production total of 2 ships.,Der Kreuzer der Almirante Grau-Klasse hatte eine Produktion von insgesamt 2 Schiffen.,,10,
"The neighbouring town to Swarkestone is Melbourne, Derbyshire.","Die Nachbarstadt von Swarkestone ist Melbourne, Derbyshire.",,10,
The total produced by the Highland Railway W Class is 4.,Die Gesamtproduktion der W-Klasse der Highland Railway beträgt 4.,,10,
Joel Funk Asper is a human being from the United States of America a member of the Republican Party in the U.S.A. and is a man.,"Joel Funk Asper ist ein Mensch aus den Vereinigten Staaten von Amerika, Mitglied der Republikanischen Partei in den USA und ein Mann.",,10,
The British Rail Class 42 has a total production of +38.,Die British Rail Class 42 hat eine Gesamtproduktion von +38.,,10,
"Stanton by Bridge is a town in Derbyshire which is part of the Melbourne , Derbyshire conurbation.","Stanton by Bridge ist eine Stadt in Derbyshire, die Teil des Ballungsraums Melbourne, Derbyshire ist.",,10,
Mark 35 torpedo total production is +400.,Die Gesamtproduktion von Mark 35-Torpedos beträgt +400.,,10,
"The total produced Junkers Ju 90 is 18,000.",Die insgesamt produzierte Junkers Ju 90 beträgt 18.000.,,7,
Ticknall is bordered by Melbourne Derbyshire.,Ticknall grenzt an Melbourne Derbyshire.,,10,
The total produced by the Indian locomotive class XE is +93.,Die Gesamtproduktion der indischen Lokomotivklasse XE beträgt +93.,,10,
CGR 1st Class 0-4-0ST 1876 had a total of 3 engines.,CGR 1st Class 0-4-0ST 1876 hatte insgesamt 3 Motoren.,,10,
The total production of the BMW 3 Series (E30) is +2339520.,Die Gesamtproduktion des BMW 3er (E30) beträgt +2339520.,,10,
The total produced Citroën Méhari is +144953.,Der insgesamt produzierte Citroën Méhari beträgt +144953.,,6,
The Cessna 340 has a total production of 1351 aircraft.,Die Cessna 340 hat eine Gesamtproduktion von 1351 Flugzeugen.,,10,
"Dornier Do 26 is a monoplane flying boat with a total of 6 produced. Its first flight was May 21, 1938.",Dornier Do 26 ist ein Eindecker-Flugboot mit insgesamt 6 produzierten Exemplaren. Der Erstflug war am 21. Mai 1938.,,10,
7.5 cm Infanteriegeschütz 37 is manufactured in a total of +1304.,"7,5 cm Infanteriegeschütz 37 wird insgesamt in +1304 gefertigt.",,9,
The New South Wales Z20 class locomotive was produced in a total of 33 units.,Die Lokomotive der Z20-Klasse von New South Wales wurde in insgesamt 33 Einheiten produziert.,,10,
"Calke is a village and civil parish in South Derbyshire, United Kingdom. Melbourne, Derbyshire is a neighbouring city.","Calke ist ein Dorf und eine Gemeinde in South Derbyshire, Vereinigtes Königreich. Melbourne, Derbyshire ist eine Nachbarstadt.",,10,
The South African Class 8Y 2-8-0 produced a total of 4.,Die südafrikanische Klasse 8Y 2-8-0 produzierte insgesamt 4.,,10,
What items are there?,Welche Artikel gibt es?,,10,
What is the most abundant item?,Was ist das am häufigsten vorkommende Element?,,7,
How many things were manufactured?,Wie viele Dinge wurden hergestellt?,,10,
What was the largest production run?,Was war die größte Produktionsserie?,,10,
What was the smallest production run?,Was war die kleinste Auflage?,,10,
The SJ T45 has a total of 5 units.,Der SJ T45 hat insgesamt 5 Einheiten.,,10,
The South African Class 32-000 had a total produced of 115.,Von der südafrikanischen Klasse 32-000 wurden insgesamt 115 Exemplare produziert.,,10,
The Swiss made Saurer 2DM truck was manufactured by Saurer and entered service in 1964. The total production of the truck is 3200.,Der in der Schweiz hergestellte Saurer 2DM-Lkw wurde von Saurer hergestellt und 1964 in Dienst gestellt. Die Gesamtproduktion des Lkw beträgt 3200.,,10,
South African Class FD 2-6-2+2-6-2 has a total production of 4.,Die südafrikanische Klasse FD 2-6-2+2-6-2 hat eine Gesamtproduktion von 4.,,10,
The total produced by Schmidt-Rubin is 1366228.,Die von Schmidt-Rubin produzierte Gesamtzahl beträgt 1366228.,,10,
The South African Class 35-600 produced a total of 101 cars.,Die südafrikanische Klasse 35-600 produzierte insgesamt 101 Autos.,,10,
The total produced by LCDR Sondes class +6.,Die Gesamtzahl der von LCDR-Sonden produzierten Klasse +6.,,10,
Porsche 550 was made in total of +90.,Porsche 550 wurde insgesamt +90 gemacht.,,10,
The total produced by the Messerschmitt Bf 110 is +6170.,Die Gesamtproduktion der Messerschmitt Bf 110 beträgt +6170.,,10,
The NZR RM class (Clayton) has a total of +1 cars made.,Die NZR RM-Klasse (Clayton) hat insgesamt +1 Autos hergestellt.,,10,
Ceinture 51 to 65 produced +15.,Ceinture 51 bis 65 produzierte +15.,,10,
The total produced of M3 howitzers is +2580.,Die Gesamtproduktion der M3-Haubitzen beträgt +2580.,,10,
The AEG D.I total produced +3.,Die AEG D.I produzierte insgesamt +3.,,10,
John Sipin is a US national who plays second base for the San Diego Padres. He is known for being a human being.,"John Sipin ist ein US-Staatsbürger, der als Second Base für die San Diego Padres spielt. Er ist dafür bekannt, ein Mensch zu sein.",,10,
The Bliss-Leavitt Mark 3 torpedo produced a total of +208.,Der Bliss-Leavitt Mark 3-Torpedo produzierte insgesamt +208.,,10,
"John Sipin was born in Watsonville, California on August 29, 1946 . He is a United States of America and a baseball player . He has won the US men's championship in baseball.","John Sipin wurde am 29. August 1946 in Watsonville, Kalifornien, geboren. Er ist ein Vereinigte Staaten von Amerika und ein Baseballspieler. Er hat die US-Meisterschaft der Männer im Baseball gewonnen.",,10,
The total number of Highland Railway F Class produced is +17.,Die Gesamtzahl der produzierten Highland Railway F Class beträgt +17.,,10,
The population of Tigray Region is 4960003.,Die Bevölkerung der Region Tigray beträgt 4960003.,,10,
The total production of the M103 heavy tank is +300.,Die Gesamtproduktion des schweren Panzers M103 beträgt +300.,,10,
How many inhabitants are there in United States of America?,Wie viele Einwohner gibt es in Vereinigte Staaten von Amerika?,,10,
What is the most common item?,Was ist der häufigste Artikel?,,10,
What item has been made the least?,Welcher Gegenstand wurde am wenigsten hergestellt?,,10,
